Kategorie: Alle Kategorien

Woche,machine learning: (Weltweit)
2013-12-01,17
2013-12-08,17
2013-12-15,16
2013-12-22,13
2013-12-29,13
2014-01-05,15
2014-01-12,16
2014-01-19,16
2014-01-26,18
2014-02-02,17
2014-02-09,17
2014-02-16,17
2014-02-23,17
2014-03-02,19
2014-03-09,18
2014-03-16,17
2014-03-23,18
2014-03-30,18
2014-04-06,18
2014-04-13,18
2014-04-20,18
2014-04-27,16
2014-05-04,19
2014-05-11,18
2014-05-18,16
2014-05-25,17
2014-06-01,17
2014-06-08,15
2014-06-15,16
2014-06-22,17
2014-06-29,14
2014-07-06,16
2014-07-13,17
2014-07-20,18
2014-07-27,17
2014-08-03,17
2014-08-10,17
2014-08-17,18
2014-08-24,18
2014-08-31,20
2014-09-07,20
2014-09-14,20
2014-09-21,21
2014-09-28,20
2014-10-05,21
2014-10-12,22
2014-10-19,21
2014-10-26,22
2014-11-02,21
2014-11-09,21
2014-11-16,23
2014-11-23,22
2014-11-30,22
2014-12-07,24
2014-12-14,21
2014-12-21,15
2014-12-28,15
2015-01-04,21
2015-01-11,22
2015-01-18,23
2015-01-25,22
2015-02-01,23
2015-02-08,25
2015-02-15,23
2015-02-22,24
2015-03-01,24
2015-03-08,24
2015-03-15,22
2015-03-22,23
2015-03-29,23
2015-04-05,25
2015-04-12,27
2015-04-19,27
2015-04-26,26
2015-05-03,25
2015-05-10,25
2015-05-17,23
2015-05-24,23
2015-05-31,26
2015-06-07,26
2015-06-14,25
2015-06-21,24
2015-06-28,26
2015-07-05,25
2015-07-12,25
2015-07-19,24
2015-07-26,25
2015-08-02,25
2015-08-09,25
2015-08-16,24
2015-08-23,27
2015-08-30,27
2015-09-06,27
2015-09-13,30
2015-09-20,27
2015-09-27,28
2015-10-04,31
2015-10-11,30
2015-10-18,30
2015-10-25,30
2015-11-01,31
2015-11-08,38
2015-11-15,32
2015-11-22,29
2015-11-29,33
2015-12-06,33
2015-12-13,35
2015-12-20,27
2015-12-27,25
2016-01-03,28
2016-01-10,30
2016-01-17,31
2016-01-24,34
2016-01-31,35
2016-02-07,33
2016-02-14,33
2016-02-21,33
2016-02-28,33
2016-03-06,37
2016-03-13,36
2016-03-20,36
2016-03-27,37
2016-04-03,37
2016-04-10,36
2016-04-17,38
2016-04-24,35
2016-05-01,36
2016-05-08,38
2016-05-15,38
2016-05-22,39
2016-05-29,36
2016-06-05,37
2016-06-12,40
2016-06-19,39
2016-06-26,38
2016-07-03,37
2016-07-10,36
2016-07-17,36
2016-07-24,37
2016-07-31,38
2016-08-07,35
2016-08-14,33
2016-08-21,39
2016-08-28,39
2016-09-04,40
2016-09-11,42
2016-09-18,46
2016-09-25,47
2016-10-02,46
2016-10-09,44
2016-10-16,48
2016-10-23,50
2016-10-30,50
2016-11-06,49
2016-11-13,54
2016-11-20,50
2016-11-27,55
2016-12-04,56
2016-12-11,54
2016-12-18,50
2016-12-25,40
2017-01-01,52
2017-01-08,56
2017-01-15,57
2017-01-22,58
2017-01-29,60
2017-02-05,58
2017-02-12,62
2017-02-19,62
2017-02-26,63
2017-03-05,65
2017-03-12,65
2017-03-19,64
2017-03-26,70
2017-04-02,65
2017-04-09,69
2017-04-16,66
2017-04-23,68
2017-04-30,68
2017-05-07,69
2017-05-14,73
2017-05-21,71
2017-05-28,69
2017-06-04,70
2017-06-11,72
2017-06-18,72
2017-06-25,65
2017-07-02,64
2017-07-09,70
2017-07-16,73
2017-07-23,71
2017-07-30,72
2017-08-06,69
2017-08-13,67
2017-08-20,69
2017-08-27,69
2017-09-03,73
2017-09-10,80
2017-09-17,79
2017-09-24,79
2017-10-01,80
2017-10-08,85
2017-10-15,83
2017-10-22,85
2017-10-29,87
2017-11-05,89
2017-11-12,84
2017-11-19,79
2017-11-26,87
2017-12-03,90
2017-12-10,91
2017-12-17,80
2017-12-24,63
2017-12-31,70
2018-01-07,82
2018-01-14,84
2018-01-21,85
2018-01-28,87
2018-02-04,87
2018-02-11,84
2018-02-18,87
2018-02-25,91
2018-03-04,93
2018-03-11,92
2018-03-18,92
2018-03-25,88
2018-04-01,88
2018-04-08,92
2018-04-15,89
2018-04-22,91
2018-04-29,84
2018-05-06,93
2018-05-13,92
2018-05-20,94
2018-05-27,90
2018-06-03,92
2018-06-10,92
2018-06-17,89
2018-06-24,85
2018-07-01,85
2018-07-08,88
2018-07-15,90
2018-07-22,89
2018-07-29,88
2018-08-05,93
2018-08-12,87
2018-08-19,87
2018-08-26,92
2018-09-02,92
2018-09-09,97
2018-09-16,100
2018-09-23,95
2018-09-30,97
2018-10-07,99
2018-10-14,100
2018-10-21,100
2018-10-28,93
2018-11-04,88
2018-11-11,97
2018-11-18,96
